J	Ini	Sch	2-Error		Inf-Error
18	1	1	0.0039637		0.0022211
18	1	2	0.016176		0.0089566
18	1	3	0.0062251		0.0034887
18	2	1	0.0038358		0.0021753
18	2	2	0.036644		0.020792
18	2	3	0.016645		0.0094079
36	1	1	0.069693		0.028972
36	1	2	0.069702		0.029133
36	1	3	0.069652		0.02879
36	2	1	0.00088324	0.00050221
36	2	2	0.0092327		0.0052241
36	2	3	0.0041899		0.0023678
72	1	1	0.034831		0.014419
72	1	2	0.034832		0.014443
72	1	3	0.034826		0.014398
72	2	1	0.00021295	0.00012125
72	2	2	0.0023161		0.00131
72	2	3	0.0010525		0.00059481
144	1	1	0.017414		0.0072013
144	1	2	0.017414		0.0072045
144	1	3	0.017413		0.0071988
144	2	1	5.2842e-05	3.0098e-05
144	2	2	0.00057941	0.00032769
144	2	3	0.00026334	0.00014882
288	1	1	0.0087066		0.0035998
288	1	2	0.0087066		0.0036002
288	1	3	0.0087065		0.0035994
288	2	1	1.318e-05		7.5076e-06
288	2	2	0.00014488	8.1939e-05
288	2	3	6.5855e-05	3.7217e-05

288	3	1	3.621e-05		2.0429e-05
288	3	2	8.7926e-05	4.9607e-05
288	3	3	2.5861e-05	1.459e-05

286	1	1	1.503e-05		8.3644e-06
286	1	2	6.5112e-05	3.6438e-05
286	1	3	2.5043e-05	1.4039e-05
